"","NestN","PType","PlantN","PSpecies","HeightA","HeightL","HeightH","Region"
"1",46,"Native",1,1,10.2,10,12,"Teesta"
"2",16,"Exotic",7,7,14.2,14,14.4,"Teesta"
"3",10,"Native",1,1,8.7,8,9.4,"Teesta"
"4",6,"Native",1,1,9,8.7,9.4,"Teesta"
"5",26,"Exotic",2,2,9.4,9.2,10.3,"Teesta"
"6",86,"Native",3,3,7.4,7,13,"Teesta"
"7",7,"Exotic",1,1,10,10,12,"Teesta"
"8",11,"Native",1,1,8.6,8,10,"Teesta"
"9",69,"Exotic",5,5,10,9.5,11.3,"Teesta"
"10",33,"Native",4,4,8,6.8,10.4,"Teesta"
"11",17,"Native",4,4,5.7,5.6,7.6,"Teesta"
"12",26,"Exotic",2,2,15,14.4,15.8,"Teesta"
"13",13,"Native",1,1,10,9.4,11.3,"Teesta"
"14",100,"Native",2,2,14,12.5,16.6,"Teesta"
"15",70,"Native",1,1,16,14.6,16.9,"Teesta"
"16",79,"Exotic",16,16,11,10.6,11.8,"Teesta"
"17",10,"Native",3,3,5.8,4.9,6.8,"Teesta"
"18",19,"Native",3,3,12.2,10.5,14,"Ganges"
"19",14,"Native",37,13,8,7.6,8.4,"Ganges"
"20",15,"Native",2,2,10,8.8,10.4,"Ganges"
"21",47,"Native",2,2,20,17,21,"Ganges"
"22",8,"Native",1,1,12.4,12,14,"Ganges"
"23",4,"Native",1,1,13.2,11,13,"Ganges"
"24",15,"Exotic",2,2,14,13,15,"Ganges"
"25",55,"Native",3,3,8,7.6,8.8,"Chalan Beel"
"26",57,"Native",2,2,8,8,8,"Chalan Beel"
"27",14,"Native",1,1,5,5,5.4,"Chalan Beel"
"28",13,"Exotic",1,1,5,5,5.5,"Chalan Beel"
"29",72,"Exotic",28,28,12,11.3,12,"Chalan Beel"
"30",76,"Exotic",3,3,11.7,10,11.9,"Chalan Beel"
"31",47,"Native",4,4,6.5,6,6.5,"Chalan Beel"
"32",13,"Exotic",1,1,8,8,8.4,"Chalan Beel"
"33",3,"Native",2,2,8,7.8,8,"Chalan Beel"
"34",10,"Exotic",1,1,7.5,7.5,8,"Chalan Beel"
"35",27,"Exotic",2,2,9.6,9.6,10,"Chalan Beel"
"36",7,"Exotic",1,1,9,9,10,"Chalan Beel"
"37",16,"Native",1,1,9,8,11,"Teesta"
"38",22,"Native",2,2,12,9.5,17,"Teesta"
"39",12,"Native",1,1,12.5,11.7,13,"Teesta"
"40",17,"Native",1,1,12,10,13,"Teesta"
"41",27,"Exotic",1,1,12,10.6,12,"Teesta"
"42",20,"Native",1,1,12,11,13,"Teesta"
"43",37,"Exotic",8,8,8,7,9.7,"Teesta"
"44",9,"Exotic",1,1,11,10,12,"Teesta"
"45",19,"Native",1,1,11,10,12,"Teesta"
"46",17,"Native",1,1,13,12,13,"Teesta"
"47",20,"Native",2,2,11,10,11.4,"Teesta"
"48",23,"Native",2,2,10,8.6,10.5,"Teesta"
"49",40,"Native",2,2,11,10.8,13,"Teesta"
"50",7,"Native",1,1,7.2,7,7.8,"Teesta"
"51",23,"Native",9,9,5,5,5,"Teesta"
"52",37,"Exotic",3,3,10,9.5,10,"Teesta"
"53",16,"Native",1,1,7.4,7,8,"Teesta"
"54",17,"Native",1,1,5,7,8,"Teesta"
"55",73,"Native",6,6,10,9.5,10.6,"Teesta"
"56",12,"Native",3,3,7.6,7,8,"Teesta"
"57",17,"Native",2,2,7,7,7.4,"Teesta"
"58",11,"Exotic",6,6,10.4,10,11,"Teesta"
"59",9,"Native",1,1,9,8,9,"Haor"
"60",23,"Exotic",1,1,10,10,11,"Haor"
"61",8,"Exotic",1,1,11,10,11.5,"Haor"
"62",65,"Native",6,6,8,7,9,"Haor"
"63",30,"Exotic",1,1,15,13,15.5,"Haor"
"64",35,"Native",4,4,9.5,8,10,"Haor"
"65",10,"Native",4,4,10,8,10.5,"Haor"
"66",66,"Exotic",8,8,9.5,9,10,"Haor"
"67",22,"Exotic",2,2,10,8.4,11,"Haor"
"68",10,"Exotic",1,1,14,14,14.6,"Haor"
"69",92,"Native",3,3,8,6,8.5,"NorthB"
"70",80,"Native",11,11,8.2,7,10.6,"NorthB"
"71",5,"Native",1,1,9.5,9,10,"NorthB"
"72",19,"Native",15,5,5,5,5.5,"NorthB"
"73",7,"Native",2,2,13,11,15,"NorthB"
"74",15,"Native",2,2,15,12,15.5,"NorthB"
"75",12,"Native",8,8,8,7.6,9,"NorthB"
"76",21,"Native",3,3,11,10,11.7,"NorthB"
"77",6,"Native",1,1,15,13,15,"NorthB"
"78",52,"Native",3,3,14,13,15,"NorthB"
"79",28,"Native",1,1,11.5,11,12,"NorthB"
"80",72,"Exotic",2,2,12.5,12,13,"NorthB"
"81",72,"Native",9,9,13,11,14,"NorthB"
"82",20,"Native",2,2,13.5,12.4,13.8,"NorthB"
"83",52,"Native",5,5,9.5,8.8,10.2,"Haor"
"84",96,"Native",14,14,7.2,6,7.5,"Haor"
"85",38,"Native",3,3,10.6,10,11,"Haor"
"86",2,"Native",1,1,7.6,7,8.6,"Haor"
"87",65,"Exotic",3,3,6.6,6,7.6,"Haor"
"88",30,"Native",2,2,6.6,5.3,8.2,"Haor"
"89",22,"Native",1,1,7,6.4,7.8,"Haor"
"90",5,"Native",1,1,6.2,5.6,8,"Haor"
"91",9,"Native",1,1,6.1,5,6.7,"Haor"
"92",13,"Native",1,1,6.2,5.2,6.6,"Haor"
"93",3,"Native",1,1,6.8,5.7,6.8,"Haor"
"94",45,"Native",16,16,11.6,9.7,12.2,"Haor"
"95",5,"Native",6,1,9,8.7,11,"Haor"
"96",3,"Native",1,1,6.6,6.6,7.2,"Haor"
"97",13,"Exotic",4,4,8.4,8,8.4,"Haor"
"98",4,"Native",4,2,8,7.3,8,"Haor"
"99",87,"Native",3,3,11.3,10.4,11.3,"Haor"
"100",12,"Native",1,1,8.3,7.4,8.3,"Haor"
"101",3,"Exotic",1,1,14.8,14.2,14.8,"Haor"
"102",40,"Native",4,4,8.2,7.2,8.9,"Haor"
"103",20,"Native",1,1,9.3,8.3,9.6,"Haor"
"104",4,"Exotic",1,1,8.6,8.6,8.6,"Haor"
"105",5,"Native",1,1,8,7.3,9,"Haor"
"106",12,"Exotic",3,3,10,9.2,10,"Haor"
"107",8,"Native",1,1,10,10,10.6,"Haor"
"108",5,"Native",1,1,9.8,9.8,11,"Haor"
"109",29,"Native",1,1,10,9.7,10.3,"Haor"
"110",7,"Native",1,1,12,11,13,"Haor"
"111",6,"Native",1,1,8,7.3,9.2,"Haor"
"112",6,"Native",1,1,15,14,15,"Haor"
"113",25,"Native",1,1,17,16,17.6,"Haor"
"114",18,"Native",10,7,13,9.7,14.2,"Haor"
"115",56,"Native",6,6,11,10.6,11,"Haor"
"116",50,"Exotic",2,2,13.4,12.6,13.4,"Haor"
"117",44,"Native",3,3,11,10.4,11,"Haor"
"118",22,"Native",2,2,10,9.8,10,"Haor"
"119",18,"Native",1,1,10,9.3,10.2,"Haor"
"120",72,"Native",2,2,8.6,6.4,9.6,"Haor"
"121",2,"Exotic",1,1,13,13,13,"Haor"
"122",12,"Native",1,1,14.6,14,14.6,"Haor"
"123",44,"Native",1,1,12.4,11.8,12.6,"Haor"
"124",72,"Native",1,1,11.8,8.3,12.4,"Haor"
"125",9,"Native",2,2,11,10.6,12,"Haor"
"126",3,"Native",1,1,8.4,8,8.4,"Haor"
"127",18,"Native",1,1,10,9.4,10.6,"Haor"
"128",14,"Exotic",1,1,11.2,10.3,11.6,"Haor"
"129",47,"Native",3,3,10.2,9.6,10.3,"Haor"
"130",45,"Exotic",4,4,17,16,17,"Haor"
"131",28,"Native",2,2,13.4,13,13.4,"Haor"
"132",20,"Exotic",1,1,14.7,14,14.7,"Haor"
"133",5,"Exotic",1,1,13,12.5,13.6,"Haor"
"134",95,"Exotic",7,7,13.7,12,14,"Haor"
"135",55,"Exotic",1,1,15.4,12,16.6,"Haor"
"136",41,"Native",7,7,9.7,7.3,11.9,"Haor"
